log_stem,log_relpath,model,final_val_accuracy,max_val_accuracy,best_epoch,epochs_trained,final_val_loss,params,memory_mb,training_time_s,early_stopping,lr_reductions,no_thrust_precision,no_thrust_recall,no_thrust_f1,chemical_precision,chemical_recall,chemical_f1,electric_precision,electric_recall,electric_f1,impulsive_precision,impulsive_recall,impulsive_f1,macro_avg_precision,macro_avg_recall,macro_avg_f1,weighted_avg_precision,weighted_avg_recall,weighted_avg_f1,t_no_thrust_precision,t_no_thrust_recall,t_no_thrust_f1,t_chemical_precision,t_chemical_recall,t_chemical_f1,t_electric_precision,t_electric_recall,t_electric_f1,t_impulsive_precision,t_impulsive_recall,t_impulsive_f1,0_precision,0_recall,0_f1,1_precision,1_recall,1_f1,2_precision,2_recall,2_f1,3_precision,3_recall,3_f1
100min800OE_Norm_Noise_Train_640,geo/100min-800/100min800OE_Norm_Noise_Train_640.log,Decision Trees,72.97,72.97,1,1,0.5116,0,0.365570068359375,0.926,False,0,0.4564,0.425,0.4401,1.0,1.0,1.0,0.462,0.4938,0.4773,1.0,1.0,1.0,0.7296,0.7297,0.7294,0.7296,0.7297,0.7294,68.0,0.0,92.0,0.0,160.0,0.0,81.0,0.0,79.0,0.0,0.0,0.0,,,,,,,,,,,,
100min800OE_Norm_Noise_Train_640,geo/100min-800/100min800OE_Norm_Noise_Train_640.log,Nearest Neighbor,58.12,58.12,1,1,,0,6.0615,0.0613,False,0,0.5,0.425,0.4595,0.6699,0.8625,0.7541,0.5223,0.5125,0.5174,0.5957,0.525,0.5581,0.572,0.5813,0.5723,0.572,0.5813,0.5723,68.0,7.0,66.0,1.0,138.0,0.0,51.0,10.0,82.0,16.0,51.0,9.0,,,,,,,,,,,,
100min800OE_Norm_Noise_Train_640,geo/100min-800/100min800OE_Norm_Noise_Train_640.log,LSTM,51.56,58.44,23,30,0.7323,18004,0.137359619140625,20.0749,True,0,0.6957,0.1,0.1749,0.5047,1.0,0.6709,0.5168,0.9625,0.6725,0.0,0.0,0.0,0.4293,0.5156,0.3796,0.4293,0.5156,0.3796,16.0,1.0,142.0,0.0,160.0,0.0,4.0,1.0,154.0,3.0,155.0,2.0,,,,,,,,,,,,
100min800OE_Norm_Noise_Train_640,geo/100min-800/100min800OE_Norm_Noise_Train_640.log,Mamba,73.44,74.38,44,57,0.3984,6106,0.0465850830078125,27.5446,True,0,0.4762,0.4375,0.456,0.9815,0.9938,0.9876,0.4737,0.5062,0.4894,1.0,1.0,1.0,0.7328,0.7344,0.7333,0.7328,0.7344,0.7333,70.0,1.0,89.0,0.0,159.0,1.0,77.0,2.0,81.0,0.0,0.0,0.0,,,,,,,,,,,,
100min800OE_Norm_Noise_Train_640,geo/100min-800/100min800OE_Norm_Noise_Train_640.log,Transformer,73.12,73.44,66,69,0.4619,41940,0.319976806640625,56.0021,True,0,0.5,0.375,0.4286,0.9515,0.9812,0.9662,0.5026,0.6062,0.5496,0.9506,0.9625,0.9565,0.7262,0.7312,0.7252,0.7262,0.7312,0.7252,60.0,1.0,96.0,0.0,157.0,0.0,59.0,2.0,97.0,1.0,5.0,0.0,,,,,,,,,,,,
100min800OE_Norm_Noise_Train_640,geo/100min-800/100min800OE_Norm_Noise_Train_640.log,MLP,69.38,69.38,70,101,0.1955,644,0.004913330078125,6.8996,False,0,,,,,,,,,,,,,0.6993,0.6937,0.6924,0.6993,0.6937,0.6924,69.0,6.0,85.0,2.0,157.0,1.0,70.0,6.0,84.0,0.0,20.0,6.0,0.4894,0.4313,0.4585,0.8307,0.9812,0.8997,0.4773,0.525,0.5,1.0,0.8375,0.9116
100min800Norm_Noise_Train_640,geo/100min-800/100min800Norm_Noise_Train_640.log,Decision Trees,27.19,27.19,1,1,1.3931,0,0.3936195373535156,1.2997,False,0,0.264,0.2062,0.2316,0.2527,0.1437,0.1833,0.274,0.25,0.2614,0.2806,0.4875,0.3562,0.2678,0.2719,0.2581,0.2678,0.2719,0.2581,33.0,23.0,39.0,31.0,23.0,36.0,32.0,23.0,40.0,29.0,22.0,31.0,,,,,,,,,,,,
100min800Norm_Noise_Train_640,geo/100min-800/100min800Norm_Noise_Train_640.log,Nearest Neighbor,25.16,25.16,1,1,,0,6.0615,0.0619,False,0,0.2512,0.3187,0.281,0.25,0.0563,0.0918,0.25,0.2875,0.2674,0.2535,0.3438,0.2918,0.2512,0.2516,0.233,0.2512,0.2516,0.233,51.0,9.0,46.0,50.0,9.0,47.0,51.0,9.0,46.0,51.0,9.0,45.0,,,,,,,,,,,,
100min800Norm_Noise_Train_640,geo/100min-800/100min800Norm_Noise_Train_640.log,LSTM,25.0,25.16,4,13,1.3866,18004,0.137359619140625,8.3225,True,0,0.2553,0.075,0.1159,0.249,0.4062,0.3088,0.25,0.25,0.25,0.25,0.2687,0.259,0.2511,0.25,0.2334,0.2511,0.25,0.2334,12.0,65.0,40.0,12.0,65.0,40.0,12.0,65.0,40.0,11.0,66.0,40.0,,,,,,,,,,,,
100min800Norm_Noise_Train_640,geo/100min-800/100min800Norm_Noise_Train_640.log,Mamba,25.0,25.31,23,101,1.3864,6106,0.0465850830078125,47.0077,False,0,0.2472,0.1375,0.1767,0.25,0.3812,0.302,0.2527,0.1437,0.1833,0.25,0.3375,0.2872,0.25,0.25,0.2373,0.25,0.25,0.2373,22.0,61.0,23.0,22.0,61.0,23.0,22.0,61.0,23.0,23.0,61.0,22.0,,,,,,,,,,,,
